200;
100;
102;
4;
200;
200;
35;35;0;0
41;49;0;7
35;17;0;5
55;45;0;10
55;20;0;13
15;30;0;31
25;30;0;3
20;50;0;6
10;43;0;11
55;60;0;13
30;60;0;10
20;65;0;16
50;35;0;10
30;25;0;23
15;10;0;23
30;5;0;4
10;20;0;23
5;30;0;1
20;40;0;9
15;60;0;18
45;65;0;10
45;20;0;9
45;10;0;9
55;5;0;27
65;35;0;4
65;20;0;3
45;30;0;22
35;40;0;17
41;37;0;11
64;42;0;12
40;60;0;17
31;52;0;39
35;69;0;18
53;52;0;15
65;55;0;8
63;65;0;8
2;60;0;7
20;20;0;9
5;5;0;20
60;12;0;41
40;25;0;11
42;7;0;6
24;12;0;3
23;3;0;8
11;14;0;21
6;38;0;10
2;48;0;1
8;56;0;35
13;52;0;22
6;68;0;32
47;47;0;17
49;58;0;12
27;43;0;6
37;31;0;9
57;29;0;15
63;23;0;1
53;12;0;3
32;12;0;6
36;26;0;15
21;24;0;39
17;34;0;3
12;24;0;11
24;58;0;16
27;69;0;6
15;77;0;10
62;77;0;14
49;73;0;21
67;5;0;15
56;39;0;33
37;47;0;6
37;56;0;5
57;68;0;13
47;16;0;16
44;17;0;9
46;13;0;6
49;11;0;16
49;42;0;9
53;43;0;9
61;52;0;2
57;48;0;16
56;37;0;7
55;54;0;38
15;47;0;15
14;37;0;9
11;31;0;8
16;22;0;54
4;18;0;27
28;18;0;36
26;52;0;5
26;35;0;19
31;67;0;2
15;19;0;1
22;22;0;1
18;24;0;18
26;27;0;38
25;24;0;12
22;27;0;10
25;21;0;15
19;21;0;9
20;26;0;11
18;18;0;24
35;35;0;0
