2000;
100;
100;
4;
200;
200;
41;49;10;7
35;17;7;5
55;45;13;10
55;20;19;13
15;30;26;31
25;30;3;3
20;50;5;6
10;43;9;11
55;60;16;13
30;60;16;10
20;65;12;16
50;35;19;10
30;25;23;23
15;10;20;23
30;5;8;4
10;20;19;23
5;30;2;1
20;40;12;9
15;60;17;18
45;65;9;10
45;20;11;9
45;10;18;9
55;5;29;27
65;35;3;4
65;20;6;3
45;30;17;22
35;40;16;17
41;37;16;11
64;42;9;12
40;60;21;17
31;52;27;39
35;69;23;18
53;52;11;15
65;55;14;8
63;65;8;8
2;60;5;7
20;20;8;9
5;5;16;20
60;12;31;41
40;25;9;11
42;7;5;6
24;12;5;3
23;3;7;8
11;14;18;21
6;38;16;10
2;48;1;1
8;56;27;35
13;52;36;22
6;68;30;32
47;47;13;17
49;58;10;12
27;43;9;6
37;31;14;9
57;29;18;15
63;23;2;1
53;12;6;3
32;12;7;6
36;26;18;15
21;24;28;39
17;34;3;3
12;24;13;11
24;58;19;16
27;69;10;6
15;77;9;10
62;77;20;14
49;73;25;21
67;5;25;15
56;39;36;33
37;47;6;6
37;56;5;5
57;68;15;13
47;16;25;16
44;17;9;9
46;13;8;6
49;11;18;16
49;42;13;9
53;43;14;9
61;52;3;2
57;48;23;16
56;37;6;7
55;54;26;38
15;47;16;15
14;37;11;9
11;31;7;8
16;22;41;54
4;18;35;27
28;18;26;36
26;52;9;5
26;35;15;19
31;67;3;2
15;19;1;1
22;22;2;1
18;24;22;18
26;27;27;38
25;24;20;12
22;27;11;10
25;21;12;15
19;21;10;9
20;26;9;11
18;18;17;24
